name,parent,size,from,to,comment,alt_names,formatter
Generic ID,,7,454,460,,,
NYPD ID,,7,461,467,,,
FDNY ID,,7,468,474,,,
Bike Lane 2,,2,475,476,,,
Bike Traffic Direction,,2,477,478,,,
Street Status,,1,482,482,,,
Street Width,,3,483,485,,,
Street Width Irregular,,1,486,486,,,
Bike Lane,,1,487,487,Will be retired. See Bike Lane 2,,
Federal Classification Code,,2,488,489,,,
Right Of Way Type,,1,490,490,,,
List of Second Set of 5 LGCs,,10,491,500,,,
Legacy Segment ID,,7,501,507,,,
From Preferred LGCs First Set of 5,,10,508,517,,,
To Preferred LGCs First Set of 5,,10,518,527,,,
From Preferred LGCs Second Set of 5,,10,528,537,,,
To Preferred LGCs Second Set of 5,,10,538,547,,,
No Cross Street Calculation Flag,,1,548,548,,,
Individual Segment Length,,5,549,553,,,
NTA Name,,75,554,628,,,
USPS Preferred City Name,,25,629,653,,,
Latitude,,9,654,662,,,
Longitude,,11,663,673,,,
From Actual Segment Node ID,,7,674,680,,,
To Actual Segment Node ID,,7,681,687,,,
SPATIAL COORDINATES OF ACTUAL SEGMENT:,,42,688,729,,,
"X Coordinate, Low Address End",SPATIAL COORDINATES OF ACTUAL SEGMENT:,7,688,694,Actual From Node,,
"Y Coordinate, Low Address End",SPATIAL COORDINATES OF ACTUAL SEGMENT:,7,695,701,,,
"Z Coordinate, Low Address End",SPATIAL COORDINATES OF ACTUAL SEGMENT:,7,702,708,Not Implemented,,
"X Coordinate, High Address End",SPATIAL COORDINATES OF ACTUAL SEGMENT:,7,709,715,Actual To Node,,
"Y Coordinate, High Address End",SPATIAL COORDINATES OF ACTUAL SEGMENT:,7,716,722,,,
"Z Coordinate, High Address End",SPATIAL COORDINATES OF ACTUAL SEGMENT:,7,723,729,Not Implemented,,
Blockface ID,,10,730,739,,,
Number of Travel Lanes on the Street,,2,740,741,,,
Number of Parking Lanes on the Street,,2,742,743,,,
Number of Total Lanes on the Street,,2,744,745,,,
Street Width Maximum,,3,746,748,,,
Speed Limit,,2,749,750,,,
PUMA Code,,5,751,755,,,
Police Sector,,4,756,759,,,
Police Service Area,,1,760,760,,,
Truck Route Type,,1,761,761,,,
2020 Census Tract,,6,762,767,,,CT
2020 Census Block,,4,768,771,,,
2020 Census Block Suffix,,1,772,772,,,
2020 Neighborhood Tabulation Area (NTA),,6,773,778,,,
2020 Community District Tabulation Area (CDTA),,4,779,782,,,
Filler,,218,783,1000,,,
Reason Code,,1,1001,1001,,,
Reason Code Qualifier,,1,1002,1002,,,
Warning Code,,2,1003,1004,,,
Return Code,,2,1005,1006,,,
Number of Cross Streets at Low Address End,,1,1007,1007,,,
List of Cross Streets at Low Address End,,40,1008,1047,B7SC - Blank Filled (Up to 5 B7SCs),,
No. of Cross Streets at High Address End,,1,1048,1048,,,
List of Cross Streets at High Address End,,40,1049,1088,B7SC - Blank Filled (Up to 5 B7SCs),,
List of Cross Street Names at Low Address End,,160,1089,1248,5 x 32 = 160 Up to 5 Street Names,,
List of Cross Street Names at High Address End,,160,1249,1408,5 x 32 = 160 Up to 5 Street Names,,
BOE Preferred B7SC,,8,1409,1416,,,
BOE Preferred Street Name,,32,1417,1448,,,
Continuous Parity Indicator / Duplicate Address Indicator,,1,1522,1522,,,
Low House Number of Defining Address Range,,11,1523,1533,Sort Format,,
BOROUGH BLOCK LOT (BBL):,,10,1534,1543,Billing BBL if Condo,,
Borough Code,BOROUGH BLOCK LOT (BBL):,1,1534,1534,,,
Tax Block,BOROUGH BLOCK LOT (BBL):,5,1535,1539,,,
Tax Lot,BOROUGH BLOCK LOT (BBL):,4,1540,1543,,,
Filler for Tax Lot Version Number,,1,1544,1544,Not Implemented,,
RPAD Self-Check Code (SCC) for BBL,,1,1545,1545,,,
Filler,,1,1546,1546,,,
RPAD Building Classification Code,,2,1547,1548,,,
Corner Code,,2,1549,1550,,,
Number of Existing Structures on Lot,,4,1551,1554,,,
Number of Street Frontages of Lot,,2,1555,1556,,,
Interior Lot Flag,,1,1557,1557,,,
Vacant Lot Flag,,1,1558,1558,,,
Irregularly-Shaped Lot Flag,,1,1559,1559,,,
Marble Hill/Rikers Island Alternate Borough Flag,,1,1560,1560,,,
List of Geographic Identifiers Overflow Flag,,1,1561,1561,"When = 'E', there are more than 21 addrs for Fn 1B (based on Fn 1A)",,
STROLLING KEY:,,19,1562,1580,Not Implemented,,
Borough,STROLLING KEY:,1,1562,1562,,,
5-Digit Street Code of ON- Street,STROLLING KEY:,5,1563,1567,,,
Side of Street Indicator,STROLLING KEY:,1,1568,1568,,,
High House Number,STROLLING KEY:,11,1569,1579,Sort Format,,
Building Identification Number (BIN) of Input Address or NAP,,7,1582,1588,,,
Condominium Flag,,1,1589,1589,"If condo, = 'C'",,
DOF Condominium Identification Number,,4,1591,1594,,,
Condominium Unit ID Number,,7,1595,1601,Not Implemented,,
Condominium Billing BBL,,10,1602,1611,,,
Filler - Tax Lot Version No. Billing BBL,,1,1612,1612,Not Implemented,,
Self-Check Code (SCC) of Billing BBL,,1,1613,1613,,,
Low BBL of this Building's Condominium Units,,10,1614,1623,,,
Filler - Tax Lot Version No. of Low BBL,,1,1624,1624,Not Implemented,,
High BBL of this Building's Condominium Units,,10,1625,1634,,,
Filler - Tax Log Version No. of High BBL,,1,1635,1635,Not Implemented,,
Cooperative ID Number,,4,1651,1654,,,
SBVP (SANBORN MAP IDENTIFIER):,,8,1655,1662,,,
Sanborn Borough Code,SBVP (SANBORN MAP IDENTIFIER):,1,1655,1655,,,
Volume Number,SBVP (SANBORN MAP IDENTIFIER):,2,1656,1657,,,
Volume Number Suffix,SBVP (SANBORN MAP IDENTIFIER):,1,1658,1658,,,
Page Number,SBVP (SANBORN MAP IDENTIFIER):,3,1659,1661,,,
Page Number Suffix,SBVP (SANBORN MAP IDENTIFIER):,1,1662,1662,,,
DCP Commercial Study Area,,5,1663,1667,,,
Tax Map Number Section & Volume,,5,1668,1672,,,
Reserved for Tax Map Page Number,,4,1673,1676,Not Implemented,,
Latitude,,9,1680,1688,,,
Longitude,,11,1689,1699,,,
X-Y Coordinates of Lot Centroid,,14,1700,1713,,,
X Coordinate,,7,1700,1706,,,
Y Coordinate,,7,1707,1713,,,
Business Improvement District (BID),,6,1714,1719,,,
TPAD BIN Status,,1,1720,1720,TPAD Request,,
TPAD New BIN,,7,1721,1727,TPAD Request,,
TPAD New BIN Status,,1,1728,1728,TPAD Request,,
TPAD Conflict Flag,,1,1729,1729,TPAD Request,,
DCP Zoning Map,,3,1730,1732,,,
Filler,,6,1733,1738,,,
Internal Use,,8,1739,1746,,,
Reason Code,,1,1747,1747,,,
Reason Code Qualifier,,1,1748,1748,,,
Warning Code,,2,1749,1750,,,
Return Code,,2,1751,1752,,,
Filler,,108,1753,1860,,,
Number of Entries in List of Geographic Identifiers,,4,1861,1864,Maximum is 21,,
LIST OF GEOGRAPHIC IDENTIFIERS:,,2436,1865,4300,"Maximum is 21 entries. 21 x 116 = 2436 Variable length list of up to 21 entries; each is 116 bytes long, structured as follows:",,LGI-extended
